domain,dataset,model,example_id,source_row,label,k,full_utility,empty_selected_utility,oracle_utility,oracle_headroom,full_primary,oracle_primary,oracle_subset,attention_shapley_spearman,top_attention_harmful,harmful_item_fraction,sign_reversal_fraction,mean_marginal_spread,mean_abs_pair_interaction,max_abs_pair_interaction,mean_abs_loo_shapley_gap,attention,loo,shapley
rag,hotpotqa,FiD,15,8015,,5,-0.7524294257164001,-0.7296090126037598,-0.7260530591011047,0.02637636661529541,1.0,1.0,3,0.8999999999999998,0.0,0.8,0.8,0.014871799945831298,0.0037338286638259888,0.008923590183258057,0.0018901046117146812,"[0.3099200129508972, 0.19377727806568146, 0.18826371431350708, 0.1826833337545395, 0.12535566091537476]","[0.010872244834899902, -0.0015764832496643066, -0.0037106871604919434, -0.016165733337402344, -0.006883800029754639]","[0.006816771626472474, -0.003104237715403239, -0.005530698100725811, -0.015454896291097003, -0.005547352631886801]"
rag,hotpotqa,FiD,16,8016,,5,-2.447789430618286,-2.3007256984710693,-2.3007256984710693,0.1470637321472168,1.0,1.0,0,-0.8999999999999998,1.0,0.8,0.4,0.011837625503540039,0.0029705047607421877,0.006342411041259766,0.004043046633402503,"[0.33506667613983154, 0.2412000596523285, 0.1661553531885147, 0.13495661318302155, 0.12262129038572311]","[-0.1156303882598877, -0.015233278274536133, -0.0023043155670166016, -0.00582575798034668, 0.010758399963378906]","[-0.12248673041661579, -0.021057585875193283, -0.0018368562062581382, -0.005599796772003175, 0.003917237122853598]"
rag,hotpotqa,FiD,17,8017,,5,-1.1164928674697876,-0.7860586047172546,-0.7860586047172546,0.33043426275253296,1.0,1.0,0,0.0,1.0,1.0,0.2,0.024496865272521973,0.006277025490999222,0.02260977029800415,0.006517934799194327,"[0.38008248805999756, 0.1878868043422699, 0.18644040822982788, 0.12970268726348877, 0.11588766425848007]","[0.009447455406188965, -0.14034515619277954, -0.08668124675750732, -0.0504227876663208, -0.029842853546142578]","[-0.006793911258379618, -0.14155624310175574, -0.09829421838124593, -0.05239710211753845, -0.031392787893613175]"
rag,hotpotqa,FiD,18,8018,,5,-1.1769763231277466,-1.3617552518844604,-1.0759341716766357,0.10104215145111084,1.0,1.0,25,0.09999999999999999,0.0,0.4,0.2,0.028244566917419434,0.00707654058933258,0.02645587921142578,0.010909883975982668,"[0.32463449239730835, 0.2693999111652374, 0.20503652095794678, 0.1295464038848877, 0.07138263434171677]","[0.20037245750427246, -0.01864147186279297, -0.07577264308929443, 0.011565685272216797, 0.028221726417541504]","[0.22201357086499532, -0.006835025548934937, -0.08353076577186586, 0.015569615364074705, 0.03756153384844463]"
rag,hotpotqa,FiD,19,8019,,5,-1.575991153717041,-1.177077293395996,-1.155524730682373,0.42046642303466797,0.5,1.0,4,0.6,1.0,0.8,0.2,0.029191422462463378,0.007350859045982361,0.022733688354492188,0.015078020095825198,"[0.250011146068573, 0.22603510320186615, 0.20256784558296204, 0.17019635438919067, 0.15118955075740814]","[0.008405923843383789, -0.11539912223815918, 0.027723073959350586, -0.13296294212341309, -0.11129069328308105]","[-0.009178996086120605, -0.12786918878555298, 0.025837282339731853, -0.15553454558054608, -0.13216841220855713]"
rag,hotpotqa,FiD,20,8020,,5,-0.1016552597284317,-0.08808325976133347,-0.07681702822446823,0.02483823150396347,1.0,1.0,4,-0.19999999999999998,1.0,0.8,0.2,0.007093952596187591,0.0017730953171849252,0.006663016974925995,0.0017938113212585447,"[0.5095396041870117, 0.17383213341236115, 0.1729477196931839, 0.0946490541100502, 0.049031466245651245]","[-0.016439542174339294, -0.006479449570178986, 0.017530493438243866, -0.006573423743247986, -0.003879927098751068]","[-0.01609239565829436, -0.0036016816894213362, 0.01418088972568512, -0.004267313455541929, -0.0037914988895257316]"
rag,hotpotqa,FiD,21,8021,,5,-3.3126931190490723,-2.7404046058654785,-2.6542229652404785,0.6584701538085938,0.25,0.25,20,-0.7,1.0,0.6,0.2,0.08222413063049316,0.020492595434188843,0.04856133460998535,0.026590086619059244,"[0.30091720819473267, 0.2482306808233261, 0.1604134887456894, 0.15693199634552002, 0.1335066556930542]","[-0.28298044204711914, -0.29023194313049316, 0.08975362777709961, -0.018902063369750977, 0.01585674285888672]","[-0.31220727761586503, -0.2906540989875794, 0.04871879418691, -0.05758567253748575, 0.03943974177042644]"
rag,hotpotqa,FiD,22,8022,,5,-1.2038211822509766,-0.9511954188346863,-0.9511954188346863,0.2526257634162903,0.5,0.5,0,-0.6,1.0,0.8,0.6,0.03982901573181152,0.009937763959169389,0.026404380798339844,0.011301195621490486,"[0.2766566574573517, 0.21786092221736908, 0.18350811302661896, 0.17874734103679657, 0.14322695136070251]","[-0.18254399299621582, -0.01014256477355957, 0.006247997283935547, -0.0010929107666015625, -0.008588314056396484]","[-0.21822828153769178, -0.013424904147783918, 0.00187151034673055, -0.01023969153563182, -0.01260439654191335]"
rag,hotpotqa,FiD,23,8023,,5,-1.2633187770843506,-1.2684497833251953,-1.1664228439331055,0.09689593315124512,0.5,0.5,18,-0.3,1.0,0.4,0.4,0.028890585899353026,0.007129016518592835,0.02192246913909912,0.011245107650756838,"[0.2498534917831421, 0.2292773574590683, 0.21258215606212616, 0.18461178243160248, 0.12367516756057739]","[-0.08657670021057129, 0.06365430355072021, -0.014117598533630371, -0.011958122253417969, -0.002096414566040039]","[-0.06839235623677571, 0.06843022505442302, 0.0003848175207773843, -0.010770559310913086, 0.015478879213333132]"
stpp,earthquake,DeepSTPP,0,7997,,5,-0.5879079699516296,-0.6229346394538879,-0.5879079699516296,0.0,0.5879079699516296,0.5879079699516296,31,0.9999999999999999,0.0,0.0,0.0,4.173517227172852e-05,1.043081283569336e-05,1.329183578491211e-05,2.1266937255859894e-05,"[0.029337894171476364, 0.026679258793592453, 0.02632916159927845, 0.024788804352283478, 0.02472221851348877]","[0.007779121398925781, 0.007201194763183594, 0.007177889347076416, 0.006393373012542725, 0.006368756294250488]","[0.007803169886271159, 0.007222918669382732, 0.007199459274609884, 0.00641287664572398, 0.006388245026270548]"
stpp,earthquake,DeepSTPP,1,7998,,5,-0.3451080322265625,-0.38218244910240173,-0.3451080322265625,0.0,0.3451080322265625,0.3451080322265625,31,0.9999999999999999,0.0,0.0,0.0,9.953975677490234e-07,2.5480985641479494e-07,6.556510925292969e-07,5.483627319339407e-07,"[0.029078247025609016, 0.026485469192266464, 0.026145070791244507, 0.024618808180093765, 0.024553610011935234]","[0.008293092250823975, 0.007644325494766235, 0.007615178823471069, 0.006772756576538086, 0.0067463219165802]","[0.008294035991032917, 0.007644809782505036, 0.00761558363835017, 0.00677322844664256, 0.006746759017308552]"
stpp,earthquake,DeepSTPP,2,7999,,5,-0.13873568177223206,-0.1720103919506073,-0.13873568177223206,0.0,0.13873568177223206,0.13873568177223206,31,0.9999999999999999,0.0,0.0,0.0,0.000260964035987854,6.48941844701767e-05,9.28342342376709e-05,0.00013894140720367465,"[0.02902538701891899, 0.026469752192497253, 0.026137620210647583, 0.0246049202978611, 0.024539750069379807]","[0.007227703928947449, 0.006720393896102905, 0.006703287363052368, 0.005975693464279175, 0.005952924489974976]","[0.00738210678100586, 0.0068626821041107185, 0.006844765941301981, 0.006104170779387157, 0.006080984572569529]"
stpp,earthquake,DeepSTPP,3,8000,,5,-0.15585477650165558,-0.12010843306779861,-0.12010843306779861,0.035746343433856964,0.15585477650165558,0.12010843306779861,0,-0.9999999999999999,1.0,1.0,0.0,0.00010205060243606567,2.53165140748024e-05,3.453344106674194e-05,4.70206141471861e-05,"[0.029057564213871956, 0.026486050337553024, 0.026148749515414238, 0.024611664935946465, 0.024546248838305473]","[-0.008077412843704224, -0.00741983950138092, -0.007388591766357422, -0.006561055779457092, -0.006534546613693237]","[-0.008029037962357204, -0.00737153912583987, -0.007339984675248463, -0.006516099472840628, -0.006489682197570801]"
stpp,earthquake,DeepSTPP,4,8001,,5,-0.4665287137031555,-0.43081164360046387,-0.43081164360046387,0.03571707010269165,0.4665287137031555,0.43081164360046387,0,-0.9999999999999999,1.0,1.0,0.0,4.144906997680664e-05,1.0350346565246582e-05,1.3440847396850586e-05,2.0158290863036763e-05,"[0.029172159731388092, 0.026551077142357826, 0.026200713589787483, 0.02465621754527092, 0.024590380489826202]","[-0.007985681295394897, -0.007387667894363403, -0.007361650466918945, -0.006554275751113892, -0.006528586149215698]","[-0.007963188489278157, -0.007366965711116792, -0.00734097311894099, -0.0065357888738314315, -0.006510153909524282]"
stpp,earthquake,DeepSTPP,5,8002,,5,-0.6366049647331238,-0.6720284819602966,-0.6366049647331238,0.0,0.6366049647331238,0.6366049647331238,31,0.9999999999999999,0.0,0.0,0.0,3.331899642944336e-05,8.335709571838379e-06,1.0848045349121094e-05,1.6987323760987195e-05,"[0.029451880604028702, 0.026734523475170135, 0.02636278048157692, 0.024789094924926758, 0.024722544476389885]","[0.00789111852645874, 0.007291138172149658, 0.0072623491287231445, 0.00645977258682251, 0.006434202194213867]","[0.007910524805386862, 0.007308488090833028, 0.007279515266418459, 0.006475274761517843, 0.006449714303016664]"
stpp,earthquake,DeepSTPP,6,8003,,5,-0.4033825397491455,-0.4396878480911255,-0.4033825397491455,0.0,0.4033825397491455,0.4033825397491455,31,0.9999999999999999,0.0,0.0,0.0,2.6351213455200197e-05,6.5855681896209715e-06,9.03010368347168e-06,1.3571977615356966e-05,"[0.029388630762696266, 0.026726190000772476, 0.026364218443632126, 0.02479768730700016, 0.02473136968910694]","[0.008089959621429443, 0.007475733757019043, 0.007446944713592529, 0.006625622510910034, 0.0065991878509521484]","[0.00810579111178716, 0.007489595810572307, 0.007460588216781618, 0.006637897590796152, 0.006611435612042746]"
